fold,station_set,seed,model,horizon_days,threshold_name,threshold_m,hits,misses,false_alarms,POD_recall,FAR,CSI,F1,event_count,mean_peak_magnitude_error_m,mean_absolute_peak_timing_error_days,evidence_class
final_period,S4,62,lstm,3,train_q95,9.508999999999997,14,0,14,1.0,0.5,0.5,0.6666666666666666,2,0.3086096334457382,1.5,exploratory
final_period,S4,62,lstm,4,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,4,train_q90,8.309000000000006,60,0,3,1.0,0.047619047619047616,0.9523809523809523,0.975609756097561,1,0.2325144386291491,3.0,exploratory
final_period,S4,62,lstm,4,train_q95,9.508999999999997,14,0,14,1.0,0.5,0.5,0.6666666666666666,2,0.27625662326812694,2.5,exploratory
final_period,S4,62,lstm,5,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,5,train_q90,8.309000000000006,59,1,4,0.9833333333333333,0.06349206349206349,0.921875,0.959349593495935,1,0.1470745658874506,4.0,exploratory
final_period,S4,62,lstm,5,train_q95,9.508999999999997,13,1,13,0.9285714285714286,0.5,0.48148148148148145,0.65,2,0.19187901020049924,3.5,exploratory
final_period,S4,62,lstm,6,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,6,train_q90,8.309000000000006,58,2,5,0.9666666666666667,0.07936507936507936,0.8923076923076924,0.943089430894309,1,0.08726823806762418,5.0,exploratory
final_period,S4,62,lstm,6,train_q95,9.508999999999997,10,4,13,0.7142857142857143,0.5652173913043478,0.37037037037037035,0.5405405405405406,2,0.13273639678954918,4.5,exploratory
final_period,S4,62,lstm,7,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,7,train_q90,8.309000000000006,56,4,6,0.9333333333333333,0.0967741935483871,0.8484848484848485,0.9180327868852459,1,0.018039302825929582,6.0,exploratory
final_period,S4,62,lstm,7,train_q95,9.508999999999997,5,9,11,0.35714285714285715,0.6875,0.2,0.3333333333333333,2,0.03384334564208746,4.5,exploratory
final_period,S4,62,lstm,8,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,8,train_q90,8.309000000000006,55,5,6,0.9166666666666666,0.09836065573770492,0.8333333333333334,0.9090909090909091,1,-0.06643013000488374,7.0,exploratory
final_period,S4,62,lstm,8,train_q95,9.508999999999997,1,13,9,0.07142857142857142,0.9,0.043478260869565216,0.08333333333333333,2,-0.07795988082885685,4.5,exploratory
final_period,S4,62,lstm,9,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,9,train_q90,8.309000000000006,54,6,7,0.9,0.11475409836065574,0.8059701492537313,0.8925619834710744,1,-0.12091407775879048,8.0,exploratory
final_period,S4,62,lstm,9,train_q95,9.508999999999997,0,14,7,0.0,1.0,0.0,0.0,2,-0.22433008193969872,4.5,exploratory
final_period,S4,62,lstm,10,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,10,train_q90,8.309000000000006,53,7,8,0.8833333333333333,0.13114754098360656,0.7794117647058824,0.8760330578512396,1,-0.14846317291259759,9.0,exploratory
final_period,S4,62,lstm,10,train_q95,9.508999999999997,0,14,4,0.0,1.0,0.0,0.0,2,-0.31083419322967565,4.5,exploratory
final_period,S4,62,lstm,11,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,11,train_q90,8.309000000000006,51,9,8,0.85,0.13559322033898305,0.75,0.8571428571428571,1,-0.23505633354186983,10.0,exploratory
final_period,S4,62,lstm,11,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.49328006267547675,4.5,exploratory
final_period,S4,62,lstm,12,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
